方案,簇号,簇名,岗位数,占比(%),薪资中位数(元),薪资P25-P75,经验众数,学历众数,主导大类,大类分布,特征技能(lift Top10),高频技能Top8,主要岗位,主要城市
K=9（主）,0,制造业质量/检验（成本管理、抖音）,4546,51.45,10000,7000-14500,3-5年,本科,其他/未细分,其他/未细分 56%、销售/运营/客服 18%、质量检验 13%,成本管理、抖音、订单管理、拼多多、客户支持、精品运营,excel(672)、python(387)、java(218)、sql(195)、qc(162)、qe(135)、统计学(129)、qa(127),质量经理、质量主管、新媒体运营、电气工程师、跨境电商运营、销售助理,苏州(778)、福州(515)、厦门(496)、嘉兴(477)
K=9（主）,3,软件测试（信号测试、安全测试）,1453,16.44,10500,8500-13500,3-5年,本科,软件测试,软件测试 100%,信号测试、安全测试、appium、可靠性测试、canoe、测试开发,qe(253)、功能测试(229)、性能测试(191)、python(167)、qc(163)、qa(153)、excel(99)、全面质量管理体系(97),质量工程师、测试工程师、品质工程师、品质经理、品质主管、软件测试工程师,苏州(360)、宁波(222)、厦门(201)、嘉兴(179)
K=9（主）,4,后端开发（hibernate、linux开发）,906,10.25,13500,10500-16500,3-5年,本科,后端开发,后端开发 100%,hibernate、linux开发、webform、struts、机器人开发、web开发,java(498)、mysql(440)、sql(272)、python(262)、redis(237)、javascript(226)、spring(208)、mybatis(190),软件工程师、java开发工程师、Java开发工程师、软件开发工程师、后端开发工程师、上位机软件开发工程师,苏州(314)、厦门(161)、福州(151)、宁波(145)
K=9（主）,1,运维/云与网络（分布式电站、空调工程）,740,8.37,8000,6500-10500,1-3年,大专,运维/云与网络,运维/云与网络 100%,分布式电站、空调工程、光伏系统运维、污水、电站、高压电工证,linux(142)、系统运维(111)、sql(78)、python(77)、mysql(75)、java(66)、服务器运维(59)、网络运维(57),运维工程师、网络工程师、实施工程师、桌面运维工程师、软件实施工程师、驻场运维工程师,苏州(212)、福州(150)、厦门(115)、宁波(75)
K=9（主）,7,算法/人工智能（智能驾驶、传感器融合）,436,4.93,18000,12500-23000,3-5年,本科,算法/人工智能,算法/人工智能 100%,智能驾驶、传感器融合、visionpro、gpt、视觉定位、环境建模,python(264)、深度学习(176)、pytorch(123)、tensorflow(102)、机器学习(98)、计算机视觉(68)、人工智能(55)、linux(55),算法工程师、机器视觉工程师、图像算法工程师、机器视觉算法工程师、视觉算法工程师、ai算法工程师,苏州(203)、厦门(65)、宁波(41)、福州(40)
K=9（主）,8,前端开发（web前端、erp项目）,214,2.42,12500,9500-15000,3-5年,本科,前端开发,前端开发 100%,web前端、erp项目、给排水工程、暖通工程、reactnative、bootstrap,vue(152)、javascript(118)、java(89)、react(83)、html(67)、mysql(60)、后端开发(58)、css(58),前端开发工程师、全栈开发工程师、全栈工程师、web前端工程师、前端开发、前端工程师,苏州(82)、福州(45)、厦门(38)、宁波(32)
K=9（主）,5,嵌入式/硬件（rtos、32位单片机）,213,2.41,15000,11500-20000,3-5年,本科,嵌入式/硬件,嵌入式/硬件 100%,rtos、32位单片机、freertos、arm处理器、单片机、传感器,linux(74)、cplusplus(66)、c语言(66)、python(39)、32位单片机(37)、java(22)、arm处理器(22)、嵌入式软件开发(16),嵌入式软件工程师、嵌入式软件开发工程师、嵌入式工程师、嵌入式软件开发、嵌入式软件助理工程师、嵌入式研发工程师,苏州(50)、福州(44)、厦门(41)、宁波(27)
K=9（主）,6,产品/项目管理（国内市场、需求分析）,191,2.16,13000,9500-18000,3-5年,本科,产品/项目管理,产品/项目管理 100%,国内市场、需求分析、策略产品、b端产品、产品规划、软件项目,java(28)、python(24)、sql(20)、excel(13)、vue(10)、软件项目(10)、react(9)、mysql(9),对日开发初级技术员到项目经理的全职位招聘、项目经理、产品经理、产品专员、软件产品经理、项目管理专员,苏州(37)、嘉兴(28)、福州(27)、厦门(25)
K=9（主）,2,数据分析/BI（数仓开发、kettle）,137,1.55,10000,7500-12500,1-3年,本科,数据分析/BI,数据分析/BI 100%,数仓开发、kettle、datastage、spss、报表开发、hadoop,python(53)、sql(50)、统计学(37)、excel(33)、mysql(21)、数据挖掘(17)、java(16)、hive(15),数据分析师、高级数据分析师、数据工程师、数据分析助理、大数据开发工程师、大数据工程师,苏州(37)、厦门(27)、福州(26)、宁波(15)
K=5（对照）,1,制造业质量/检验（成本管理、抖音）,4546,51.45,10000,7000-14500,3-5年,本科,其他/未细分,其他/未细分 56%、销售/运营/客服 18%、质量检验 13%,成本管理、抖音、订单管理、拼多多、客户支持、精品运营,excel(672)、python(387)、java(218)、sql(195)、qc(162)、qe(135)、统计学(129)、qa(127),质量经理、质量主管、新媒体运营、电气工程师、跨境电商运营、销售助理,苏州(778)、福州(515)、厦门(496)、嘉兴(477)
