列名,类型,分组,说明
简历ID,键,—,配对标识，仅用于分组划分，不作为特征
岗位ID,键,—,配对标识，仅用于分组划分，不作为特征
简历技能数,特征,技能,简历技能列表的词数（`技能词` 列）
岗位技能要求数,特征,技能,岗位技能要求集合大小（剔除福利类+行业类标签，并入描述中命中的简历技能池词）
技能命中数,特征,技能,归一口径下 简历技能词 ∩ 岗位技能要求集合 的词数
技能精确命中数,特征,技能,不做同义词归一的字符串精确命中词数
岗位技能标签数,特征,技能,岗位 `技能标签` 列的原始标签个数（含福利/行业标签）
岗位名称与期望岗位相似度,特征,文本,岗位名称 vs 期望岗位：char_wb 2–3gram TF-IDF 余弦
描述与简历文本相似度,特征,文本,职位描述分词 vs 简历(项目经验+工作经历+个人简介)分词：词级 TF-IDF 余弦
描述与技能特长相似度,特征,文本,职位描述分词 vs 技能特长分词：词级 TF-IDF 余弦
专业命中岗位描述,特征,文本,简历专业关键词是否出现在岗位名称或职位描述中（0/1）
简历工作年限,特征,经验,`工作年限` 列（应届为 0）
是否应届,特征,经验,是否应届（0/1）
岗位经验下限,特征,经验,经验要求区间下限（年）；不限或缺失为 -1
岗位经验上限,特征,经验,经验要求区间上限（年）；不限或缺失为 -1
岗位经验不限,特征,经验,岗位经验要求为“不限”（0/1）
岗位经验缺失,特征,经验,A2 错位值或空值，无法解析（0/1）
简历学历序数,特征,学历,初中0/高中1/中专2/大专3/本科4/硕士5/博士6
岗位学历要求序数,特征,学历,同上；要求为空/不限为 -1
距离km,特征,地域,期望城市与岗位城市中心的 Haversine 距离
是否同城,特征,地域,期望城市 == 岗位城市（0/1）
是否同省,特征,地域,期望城市与岗位城市同省（0/1）
岗位城市岗位数,特征,地域,该岗位所在城市在岗位池中的岗位数
岗位城市简历数,特征,地域,该岗位所在城市在 500 份简历中的简历数
简历期望薪资下限,特征,薪资,期望薪资下限（元/月）；面议为 -1
期望薪资面议,特征,薪资,期望薪资为“面议”（0/1）
岗位薪资下限,特征,薪资,岗位薪资区间下限（元/月）；缺失为 -1
岗位薪资上限,特征,薪资,岗位薪资区间上限（元/月）；缺失为 -1
薪资上限与期望下限比,特征,薪资,岗位上限 / 简历期望下限；任一侧缺失为 -1
技术认证数,特征,专业证书,方向性技术认证个数（RHCE/HCIA/ACP/软考/软设/架构师/MySQL认证）
通用证书数,特征,专业证书,通用证书个数（英语四六级/计算机一二三级/PMP）
技术认证方向命中数,特征,专业证书,该简历的技术认证中，方向关键词命中岗位名称/描述/技能集合的个数（0 ~ 技术认证数）
岗位大类,特征,岗位类型,岗位名称抽取的大类编码
期望岗位大类,特征,岗位类型,期望岗位抽取的大类编码
岗位大类一致,特征,岗位类型,岗位大类 == 期望岗位大类（0/1）
今日回复数,特征,活跃度,`今日回复数` 取数字；无该字段为 -1（标签未使用此信息）
是否在线,特征,活跃度,`在线状态` 含“在线”（0/1，标签未使用）
同公司岗位数,特征,活跃度,该岗位所属公司在岗位池中的岗位数（标签未使用）
总分_规则,标签,—,标签（纯净）
总分(0-100),标签,—,标签（含噪，训练目标）
是否匹配,标签,—,标签（≥65）
