模式,问题,类型,P@5,R@5,溯源正确率,Top1,说明
纯语义（全库）,厦门有哪些 Java 开发岗位？,岗位检索,0.0,0.0,0.0,地域结论,真值岗位 218 个；返回中命中 0 个
纯语义（全库）,苏州招不招前端开发？,岗位检索,0.0,0.0,0.0,企业结论,真值岗位 240 个；返回中命中 0 个
纯语义（全库）,福州有没有软件测试岗位？,岗位检索,0.0,0.0,0.0,地域结论,真值岗位 359 个；返回中命中 0 个
纯语义（全库）,宁波的运维岗位多吗？,岗位检索,0.0,0.0,0.0,地域结论,真值岗位 166 个；返回中命中 0 个
纯语义（全库）,泉州有数据分析相关的岗位吗？,岗位检索,0.0,0.0,0.0,数据质量结论,真值岗位 261 个；返回中命中 0 个
纯语义（全库）,嘉兴招质量工程师吗？,岗位检索,0.0,0.0,0.0,技能结论,真值岗位 367 个；返回中命中 0 个
纯语义（全库）,滁州有没有 Python 岗位？,岗位检索,0.0,0.0,0.0,技能结论,真值岗位 5 个；返回中命中 0 个
纯语义（全库）,安庆招嵌入式开发吗？,岗位检索,0.0,0.0,0.0,聚类结论,真值岗位 0 个；返回中命中 0 个
纯语义（全库）,漳州有算法岗位吗？,岗位检索,0.0,0.0,0.0,地域结论,真值岗位 4 个；返回中命中 0 个
纯语义（全库）,南平招大专学历的测试岗吗？,岗位检索,0.0,0.0,0.0,学历结论,真值岗位 6 个；返回中命中 0 个
纯语义（全库）,这批岗位的月薪中位数是多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
纯语义（全库）,薪资是用中位数还是平均数描述更合适？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
纯语义（全库）,工作年限涨薪幅度大概多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图5」；命中 1 个
纯语义（全库）,哪些城市的薪资水平更高？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图5」；命中 1 个
纯语义（全库）,岗位薪资的 P25 到 P75 区间是多少？,薪资结论,0.2,1.0,0.2,薪资结论,期望来源/内容含「图11」；命中 1 个
